Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2019.09.24_12.14.29	-48.45166	-1.472838	Oi	4G	-100	3	-16	
2019.09.24_12.14.29	-48.45164	-1.472831	Oi	4G	-100	0	-15	
2019.09.24_12.14.29	-48.45164	-1.472831	Oi	4G	-100	0	-15	
2019.09.24_12.14.30	-48.45164	-1.472831	Oi	4G	-98	0	-15	
2019.09.24_12.14.32	-48.45164	-1.472831	Oi	4G	-98	0	-15	
2019.09.24_12.14.33	-48.45164	-1.472831	Oi	4G	-97	0	-15	
2019.09.24_12.14.33	-48.45167	-1.472839	Oi	4G	-97	3	-17	
2019.09.24_12.14.34	-48.45167	-1.472839	Oi	4G	-97	3	-17	
2019.09.24_12.14.35	-48.45167	-1.472839	Oi	4G	-99	3	-17	
2019.09.24_12.14.36	-48.45167	-1.472839	Oi	4G	-99	3	-17	
2019.09.24_12.14.37	-48.45170	-1.472847	Oi	4G	-99	2	-17	
2019.09.24_12.14.37	-48.45170	-1.472847	Oi	4G	-95	2	-17	
2019.09.24_12.14.39	-48.45170	-1.472847	Oi	4G	-95	2	-17	
2019.09.24_12.14.40	-48.45170	-1.472847	Oi	4G	-98	2	-17	
2019.09.24_12.14.41	-48.45170	-1.472847	Oi	4G	-98	2	-17	
2019.09.24_12.14.41	-48.45173	-1.472858	Oi	4G	-98	3	-16	
2019.09.24_12.14.42	-48.45173	-1.472858	Oi	4G	-97	3	-16	
2019.09.24_12.14.43	-48.45173	-1.472858	Oi	4G	-97	3	-16	
2019.09.24_12.14.44	-48.45176	-1.472870	Oi	4G	-97	3	-14	
2019.09.24_12.14.44	-48.45176	-1.472870	Oi	4G	-97	3	-14	
2019.09.24_12.14.45	-48.45176	-1.472870	Oi	4G	-97	3	-14	
2019.09.24_12.14.47	-48.45176	-1.472870	Oi	4G	-97	3	-14	
2019.09.24_12.14.47	-48.45178	-1.472884	Oi	4G	-97	2	-16	
2019.09.24_12.14.48	-48.45178	-1.472884	Oi	4G	-97	2	-16	
2019.09.24_12.14.49	-48.45178	-1.472884	Oi	4G	-98	2	-16	
2019.09.24_12.14.50	-48.45178	-1.472884	Oi	4G	-98	2	-16	
2019.09.24_12.14.51	-48.45181	-1.472891	Oi	4G	-98	2	-16	
2019.09.24_12.14.51	-48.45181	-1.472891	Oi	4G	-95	2	-16	
2019.09.24_12.14.52	-48.45181	-1.472891	Oi	4G	-95	2	-16	
2019.09.24_12.14.54	-48.45181	-1.472891	Oi	4G	-97	2	-16	
2019.09.24_12.14.54	-48.45184	-1.472904	Oi	4G	-97	3	-16	
2019.09.24_12.14.55	-48.45184	-1.472904	Oi	4G	-97	3	-16	
2019.09.24_12.14.56	-48.45184	-1.472904	Oi	4G	-101	3	-16	
2019.09.24_12.14.57	-48.45188	-1.472919	Oi	4G	-101	4	-16	
2019.09.24_12.14.57	-48.45188	-1.472919	Oi	4G	-101	4	-16	
2019.09.24_12.14.58	-48.45188	-1.472919	Oi	4G	-96	4	-16	
2019.09.24_12.14.59	-48.45188	-1.472919	Oi	4G	-96	4	-16	
2019.09.24_12.15.00	-48.45190	-1.472938	Oi	4G	-96	4	-16	
2019.09.24_12.15.00	-48.45190	-1.472938	Oi	4G	-101	4	-16	
2019.09.24_12.15.02	-48.45190	-1.472938	Oi	4G	-101	4	-16	
2019.09.24_12.15.03	-48.45190	-1.472938	Oi	4G	-103	4	-16	
2019.09.24_12.15.03	-48.45193	-1.472959	Oi	4G	-103	3	-15	
2019.09.24_12.15.04	-48.45193	-1.472959	Oi	4G	-103	3	-15	
2019.09.24_12.15.05	-48.45195	-1.472973	Oi	4G	-103	3	-15	
2019.09.24_12.15.05	-48.45195	-1.472973	Oi	4G	-104	3	-15	
2019.09.24_12.15.06	-48.45195	-1.472973	Oi	4G	-104	3	-15	
2019.09.24_12.15.07	-48.45195	-1.472973	Oi	4G	-99	3	-15	
2019.09.24_12.15.08	-48.45198	-1.472986	Oi	4G	-99	3	-15	
2019.09.24_12.15.08	-48.45198	-1.472986	Oi	4G	-99	3	-15	
2019.09.24_12.15.10	-48.45198	-1.472986	Oi	4G	-99	3	-15	
2019.09.24_12.15.11	-48.45198	-1.472986	Oi	4G	-99	3	-15	
2019.09.24_12.15.11	-48.45202	-1.472987	Oi	4G	-99	4	-16	
2019.09.24_12.15.12	-48.45202	-1.472987	Oi	4G	-98	4	-16	
2019.09.24_12.15.13	-48.45202	-1.472987	Oi	4G	-98	4	-16	
2019.09.24_12.15.14	-48.45205	-1.472993	Oi	4G	-98	4	-15	
2019.09.24_12.15.14	-48.45205	-1.472993	Oi	4G	-99	4	-15	
2019.09.24_12.15.15	-48.45205	-1.472993	Oi	4G	-99	4	-15	
2019.09.24_12.15.16	-48.45208	-1.473001	Oi	4G	-99	6	-15	
2019.09.24_12.15.16	-48.45208	-1.473001	Oi	4G	-98	6	-15	
2019.09.24_12.15.18	-48.45208	-1.473001	Oi	4G	-98	6	-15	
2019.09.24_12.15.18	-48.45211	-1.473009	Oi	4G	-98	4	-15	
2019.09.24_12.15.19	-48.45211	-1.473009	Oi	4G	-98	4	-15	
2019.09.24_12.15.20	-48.45214	-1.473021	Oi	4G	-98	5	-16	
2019.09.24_12.15.20	-48.45214	-1.473021	Oi	4G	-98	5	-16	
2019.09.24_12.15.21	-48.45214	-1.473021	Oi	4G	-97	5	-16	
2019.09.24_12.15.22	-48.45217	-1.473035	Oi	4G	-97	3	-17	
2019.09.24_12.15.22	-48.45217	-1.473035	Oi	4G	-97	3	-17	
2019.09.24_12.15.23	-48.45217	-1.473035	Oi	4G	-96	3	-17	
2019.09.24_12.15.24	-48.45217	-1.473035	Oi	4G	-96	3	-17	
2019.09.24_12.15.25	-48.45219	-1.473056	Oi	4G	-96	3	-18	
2019.09.24_12.15.26	-48.45219	-1.473056	Oi	4G	-93	3	-18	
2019.09.24_12.15.27	-48.45219	-1.473056	Oi	4G	-93	3	-18	
2019.09.24_12.15.28	-48.45219	-1.473056	Oi	4G	-96	3	-18	
2019.09.24_12.15.28	-48.45222	-1.473067	Oi	4G	-96	4	-15	
2019.09.24_12.15.29	-48.45222	-1.473067	Oi	4G	-96	4	-15	
2019.09.24_12.15.30	-48.45222	-1.473067	Oi	4G	-90	4	-15	
2019.09.24_12.15.31	-48.45225	-1.473080	Oi	4G	-90	4	-18	
2019.09.24_12.15.31	-48.45225	-1.473080	Oi	4G	-90	4	-18	
2019.09.24_12.15.32	-48.45225	-1.473080	Oi	4G	-92	4	-18	
2019.09.24_12.15.33	-48.45225	-1.473080	Oi	4G	-92	4	-18	
2019.09.24_12.15.34	-48.45228	-1.473092	Oi	4G	-92	4	-15	
2019.09.24_12.15.35	-48.45228	-1.473092	Oi	4G	-93	4	-15	
2019.09.24_12.15.36	-48.45228	-1.473092	Oi	4G	-93	4	-15	
2019.09.24_12.15.37	-48.45231	-1.473106	Oi	4G	-89	4	-17	
2019.09.24_12.15.37	-48.45231	-1.473106	Oi	4G	-89	4	-17	
2019.09.24_12.15.38	-48.45231	-1.473106	Oi	4G	-89	4	-17	
2019.09.24_12.15.39	-48.45234	-1.473115	Oi	4G	-89	4	-14	
2019.09.24_12.15.39	-48.45234	-1.473115	Oi	4G	-90	4	-14	
2019.09.24_12.15.40	-48.45234	-1.473115	Oi	4G	-90	4	-14	
2019.09.24_12.15.42	-48.45234	-1.473115	Oi	4G	-91	4	-14	
2019.09.24_12.15.42	-48.45237	-1.473128	Oi	4G	-91	3	-17	
2019.09.24_12.15.43	-48.45237	-1.473128	Oi	4G	-91	3	-17	
2019.09.24_12.15.44	-48.45237	-1.473128	Oi	4G	-96	3	-17	
2019.09.24_12.15.45	-48.45240	-1.473137	Oi	4G	-96	4	-16	
2019.09.24_12.15.45	-48.45240	-1.473137	Oi	4G	-96	4	-16	
2019.09.24_12.15.46	-48.45240	-1.473137	Oi	4G	-97	4	-16	
2019.09.24_12.15.47	-48.45240	-1.473137	Oi	4G	-97	4	-16	
2019.09.24_12.15.48	-48.45243	-1.473155	Oi	4G	-97	4	-18	
2019.09.24_12.15.49	-48.45243	-1.473155	Oi	4G	-96	4	-18	
2019.09.24_12.15.50	-48.45243	-1.473155	Oi	4G	-96	4	-18	
2019.09.24_12.15.51	-48.45243	-1.473155	Oi	4G	-93	4	-18	
2019.09.24_12.15.51	-48.45246	-1.473159	Oi	4G	-93	3	-16	
2019.09.24_12.15.52	-48.45246	-1.473159	Oi	4G	-93	3	-16	
2019.09.24_12.15.53	-48.45246	-1.473159	Oi	4G	-96	3	-16	
2019.09.24_12.15.54	-48.45249	-1.473167	Oi	4G	-96	3	-17	
2019.09.24_12.15.54	-48.45249	-1.473167	Oi	4G	-96	3	-17	
2019.09.24_12.15.56	-48.45249	-1.473167	Oi	4G	-97	3	-17	
2019.09.24_12.15.57	-48.45249	-1.473167	Oi	4G	-97	3	-17	
2019.09.24_12.15.57	-48.45252	-1.473179	Oi	4G	-97	4	-16	
2019.09.24_12.15.58	-48.45252	-1.473179	Oi	4G	-98	4	-16	
2019.09.24_12.15.59	-48.45252	-1.473179	Oi	4G	-98	4	-16	
2019.09.24_12.16.00	-48.45256	-1.473190	Oi	4G	-98	5	-17	
2019.09.24_12.16.00	-48.45256	-1.473190	Oi	4G	-99	5	-17	
2019.09.24_12.16.01	-48.45256	-1.473190	Oi	4G	-99	5	-17	
2019.09.24_12.16.02	-48.45256	-1.473190	Oi	4G	-100	5	-17	
2019.09.24_12.16.03	-48.45259	-1.473200	Oi	4G	-100	4	-16	
2019.09.24_12.16.04	-48.45259	-1.473200	Oi	4G	-100	4	-16	
2019.09.24_12.16.05	-48.45259	-1.473200	Oi	4G	-105	4	-16	
2019.09.24_12.16.06	-48.45259	-1.473200	Oi	4G	-105	4	-16	
2019.09.24_12.16.06	-48.45263	-1.473205	Oi	4G	-105	3	-18	
2019.09.24_12.16.07	-48.45263	-1.473205	Oi	4G	-103	3	-18	
2019.09.24_12.16.08	-48.45263	-1.473205	Oi	4G	-103	3	-18	
2019.09.24_12.16.09	-48.45267	-1.473206	Oi	4G	-103	4	-17	
2019.09.24_12.16.09	-48.45267	-1.473206	Oi	4G	-100	4	-17	
2019.09.24_12.16.10	-48.45267	-1.473206	Oi	4G	-100	4	-17	
2019.09.24_12.16.11	-48.45267	-1.473206	Oi	4G	-104	4	-17	
2019.09.24_12.16.12	-48.45271	-1.473205	Oi	4G	-104	5	-15	
2019.09.24_12.16.13	-48.45271	-1.473205	Oi	4G	-104	5	-15	
2019.09.24_12.16.14	-48.45271	-1.473205	Oi	4G	-100	5	-15	
2019.09.24_12.16.15	-48.45271	-1.473205	Oi	4G	-100	5	-15	
2019.09.24_12.16.15	-48.45274	-1.473204	Oi	4G	-100	4	-20	
2019.09.24_12.16.16	-48.45274	-1.473204	Oi	4G	-99	4	-20	
2019.09.24_12.16.17	-48.45274	-1.473204	Oi	4G	-99	4	-20	
2019.09.24_12.16.18	-48.45278	-1.473205	Oi	4G	-99	3	-17	
2019.09.24_12.16.18	-48.45278	-1.473205	Oi	4G	-101	3	-17	
2019.09.24_12.16.19	-48.45278	-1.473205	Oi	4G	-101	3	-17	
2019.09.24_12.16.21	-48.45278	-1.473205	Oi	4G	-101	3	-17	
2019.09.24_12.16.21	-48.45281	-1.473201	Oi	4G	-101	3	-19	
2019.09.24_12.16.22	-48.45281	-1.473201	Oi	4G	-101	3	-19	
2019.09.24_12.16.23	-48.45281	-1.473201	Oi	4G	-101	3	-19	
2019.09.24_12.16.24	-48.45284	-1.473205	Oi	4G	-101	3	-16	
2019.09.24_12.16.24	-48.45284	-1.473205	Oi	4G	-101	3	-16	
2019.09.24_12.16.25	-48.45284	-1.473205	Oi	4G	-98	3	-16	
2019.09.24_12.16.26	-48.45284	-1.473205	Oi	4G	-98	3	-16	
2019.09.24_12.16.27	-48.45288	-1.473212	Oi	4G	-98	3	-18	
2019.09.24_12.16.28	-48.45288	-1.473212	Oi	4G	-100	3	-18	
2019.09.24_12.16.29	-48.45288	-1.473212	Oi	4G	-100	3	-18	
2019.09.24_12.16.30	-48.45291	-1.473228	Oi	4G	-100	4	-16	
2019.09.24_12.16.30	-48.45291	-1.473228	Oi	4G	-99	4	-16	
2019.09.24_12.16.31	-48.45291	-1.473228	Oi	4G	-99	4	-16	
2019.09.24_12.16.32	-48.45291	-1.473228	Oi	4G	-98	4	-16	
2019.09.24_12.16.33	-48.45295	-1.473232	Oi	4G	-98	3	-17	
2019.09.24_12.16.33	-48.45295	-1.473232	Oi	4G	-98	3	-17	
2019.09.24_12.16.35	-48.45295	-1.473232	Oi	4G	-100	3	-17	
2019.09.24_12.16.36	-48.45295	-1.473232	Oi	4G	-100	3	-17	
2019.09.24_12.16.36	-48.45297	-1.473229	Oi	4G	-100	3	-17	
2019.09.24_12.16.37	-48.45297	-1.473229	Oi	4G	-101	3	-17	
2019.09.24_12.16.38	-48.45297	-1.473229	Oi	4G	-101	3	-17	
2019.09.24_12.16.39	-48.45300	-1.473228	Oi	4G	-101	2	-17	
2019.09.24_12.16.39	-48.45300	-1.473228	Oi	4G	-102	2	-17	
2019.09.24_12.16.40	-48.45300	-1.473228	Oi	4G	-102	2	-17	
2019.09.24_12.16.41	-48.45300	-1.473228	Oi	4G	-102	2	-17	
2019.09.24_12.16.42	-48.45303	-1.473225	Oi	4G	-102	4	-19	
2019.09.24_12.16.43	-48.45303	-1.473225	Oi	4G	-102	4	-19	
2019.09.24_12.16.44	-48.45303	-1.473225	Oi	4G	-101	4	-19	
2019.09.24_12.16.45	-48.45306	-1.473226	Oi	4G	-101	4	-20	
2019.09.24_12.16.45	-48.45306	-1.473226	Oi	4G	-101	4	-20	
2019.09.24_12.16.46	-48.45306	-1.473226	Oi	4G	-101	4	-20	
2019.09.24_12.16.47	-48.45306	-1.473226	Oi	4G	-101	4	-20	
2019.09.24_12.16.48	-48.45309	-1.473231	Oi	4G	-101	4	-19	
2019.09.24_12.16.48	-48.45309	-1.473231	Oi	4G	-104	4	-19	
2019.09.24_12.16.50	-48.45309	-1.473231	Oi	4G	-104	4	-19	
2019.09.24_12.16.51	-48.45309	-1.473231	Oi	4G	-103	4	-19	
2019.09.24_12.16.51	-48.45313	-1.473233	Oi	4G	-103	5	-19	
2019.09.24_12.16.52	-48.45313	-1.473233	Oi	4G	-103	5	-19	
2019.09.24_12.16.53	-48.45316	-1.473229	Oi	4G	-103	4	-18	
2019.09.24_12.16.53	-48.45316	-1.473229	Oi	4G	-102	4	-18	
2019.09.24_12.16.54	-48.45316	-1.473229	Oi	4G	-102	4	-18	
2019.09.24_12.16.55	-48.45316	-1.473229	Oi	4G	-98	4	-18	
2019.09.24_12.16.56	-48.45319	-1.473227	Oi	4G	-98	3	-19	
2019.09.24_12.16.57	-48.45319	-1.473227	Oi	4G	-98	3	-19	
2019.09.24_12.16.58	-48.45319	-1.473227	Oi	4G	-103	3	-19	
2019.09.24_12.16.59	-48.45322	-1.473228	Oi	4G	-103	4	-17	
2019.09.24_12.16.59	-48.45322	-1.473228	Oi	4G	-103	4	-17	
2019.09.24_12.17.00	-48.45322	-1.473228	Oi	4G	-99	4	-17	
2019.09.24_12.17.01	-48.45322	-1.473228	Oi	4G	-99	4	-17	
2019.09.24_12.17.02	-48.45325	-1.473230	Oi	4G	-99	3	-19	
2019.09.24_12.17.02	-48.45325	-1.473230	Oi	4G	-100	3	-19	
2019.09.24_12.17.04	-48.45325	-1.473230	Oi	4G	-100	3	-19	
2019.09.24_12.17.05	-48.45325	-1.473230	Oi	4G	-100	3	-19	
2019.09.24_12.17.06	-48.45328	-1.473233	Oi	4G	-100	2	-20	
2019.09.24_12.17.06	-48.45328	-1.473233	Oi	4G	-100	2	-20	
2019.09.24_12.17.07	-48.45328	-1.473233	Oi	4G	-103	2	-20	
2019.09.24_12.17.08	-48.45328	-1.473233	Oi	4G	-103	2	-20	
2019.09.24_12.17.09	-48.45328	-1.473233	Oi	4G	-99	2	-20	
2019.09.24_12.17.10	-48.45332	-1.473241	Oi	4G	-99	4	-20	
2019.09.24_12.17.10	-48.45332	-1.473241	Oi	4G	-99	4	-20	
2019.09.24_12.17.12	-48.45332	-1.473241	Oi	4G	-98	4	-20	
2019.09.24_12.17.13	-48.45332	-1.473241	Oi	4G	-98	4	-20	
2019.09.24_12.17.13	-48.45336	-1.473246	Oi	4G	-98	4	-20	
2019.09.24_12.17.14	-48.45336	-1.473246	Oi	4G	-101	4	-20	
2019.09.24_12.17.15	-48.45336	-1.473246	Oi	4G	-101	4	-20	
2019.09.24_12.17.16	-48.45339	-1.473248	Oi	4G	-101	3	-19	
2019.09.24_12.17.16	-48.45339	-1.473248	Oi	4G	-104	3	-19	
2019.09.24_12.17.17	-48.45339	-1.473248	Oi	4G	-104	3	-19	
2019.09.24_12.17.19	-48.45339	-1.473248	Oi	4G	-103	3	-19	
2019.09.24_12.17.19	-48.45343	-1.473253	Oi	4G	-103	4	-20	
2019.09.24_12.17.20	-48.45343	-1.473253	Oi	4G	-103	4	-20	
2019.09.24_12.17.21	-48.45343	-1.473253	Oi	4G	-103	4	-20	
2019.09.24_12.17.22	-48.45346	-1.473261	Oi	4G	-103	4	-18	
2019.09.24_12.17.22	-48.45346	-1.473261	Oi	4G	-103	4	-18	
2019.09.24_12.17.23	-48.45346	-1.473261	Oi	4G	-104	4	-18	
2019.09.24_12.17.24	-48.45346	-1.473261	Oi	4G	-104	4	-18	
2019.09.24_12.17.25	-48.45350	-1.473265	Oi	4G	-104	4	-20	
2019.09.24_12.17.26	-48.45350	-1.473265	Oi	4G	-104	4	-20	
2019.09.24_12.17.27	-48.45350	-1.473265	Oi	4G	-104	4	-20	
2019.09.24_12.17.28	-48.45350	-1.473265	Oi	4G	-106	4	-20	
2019.09.24_12.17.28	-48.45353	-1.473266	Oi	4G	-106	3	-19	
2019.09.24_12.17.29	-48.45353	-1.473266	Oi	4G	-106	3	-19	
2019.09.24_12.17.30	-48.45353	-1.473266	Oi	4G	-105	3	-19	
2019.09.24_12.17.31	-48.45357	-1.473257	Oi	4G	-105	3	-20	
2019.09.24_12.17.31	-48.45357	-1.473257	Oi	4G	-105	3	-20	
2019.09.24_12.17.32	-48.45357	-1.473257	Oi	4G	-104	3	-20	
2019.09.24_12.17.34	-48.45357	-1.473257	Oi	4G	-104	3	-20	
2019.09.24_12.17.34	-48.45360	-1.473258	Oi	4G	-104	3	-18	
2019.09.24_12.17.35	-48.45360	-1.473258	Oi	4G	-106	3	-18	
2019.09.24_12.17.36	-48.45360	-1.473258	Oi	4G	-106	3	-18	
2019.09.24_12.17.37	-48.45364	-1.473255	Oi	4G	-106	4	-20	
2019.09.24_12.17.37	-48.45364	-1.473255	Oi	4G	-105	4	-20	
2019.09.24_12.17.38	-48.45364	-1.473255	Oi	4G	-105	4	-20	
2019.09.24_12.17.39	-48.45367	-1.473253	Oi	4G	-105	5	-21	
2019.09.24_12.17.39	-48.45367	-1.473253	Oi	4G	-103	5	-21	
2019.09.24_12.17.41	-48.45367	-1.473253	Oi	4G	-103	5	-21	
2019.09.24_12.17.41	-48.45370	-1.473255	Oi	4G	-103	5	-19	
2019.09.24_12.17.42	-48.45370	-1.473255	Oi	4G	-104	5	-19	
2019.09.24_12.17.43	-48.45373	-1.473261	Oi	4G	-104	4	-20	
2019.09.24_12.17.43	-48.45373	-1.473261	Oi	4G	-104	4	-20	
2019.09.24_12.17.44	-48.45373	-1.473261	Oi	4G	-105	4	-20	
2019.09.24_12.17.45	-48.45373	-1.473261	Oi	4G	-105	4	-20	
2019.09.24_12.17.46	-48.45376	-1.473266	Oi	4G	-105	4	-21	
2019.09.24_12.17.46	-48.45376	-1.473266	Oi	4G	-106	4	-21	
2019.09.24_12.17.48	-48.45376	-1.473266	Oi	4G	-106	4	-21	
2019.09.24_12.17.49	-48.45376	-1.473266	Oi	4G	-107	4	-21	
2019.09.24_12.17.49	-48.45380	-1.473272	Oi	4G	-107	5	-19	
2019.09.24_12.17.50	-48.45380	-1.473272	Oi	4G	-107	5	-19	
2019.09.24_12.17.51	-48.45380	-1.473272	Oi	4G	-106	5	-19	
2019.09.24_12.17.52	-48.45384	-1.473258	Oi	4G	-106	5	-22	
2019.09.24_12.17.52	-48.45384	-1.473258	Oi	4G	-106	5	-22	
2019.09.24_12.17.53	-48.45384	-1.473258	Oi	4G	-107	5	-22	
2019.09.24_12.17.55	-48.45384	-1.473258	Oi	4G	-107	5	-22	
2019.09.24_12.17.55	-48.45387	-1.473249	Oi	4G	-107	3	-23	
2019.09.24_12.17.56	-48.45387	-1.473249	Oi	4G	-100	3	-23	
2019.09.24_12.17.57	-48.45387	-1.473249	Oi	4G	-100	3	-23	
2019.09.24_12.17.58	-48.45391	-1.473245	Oi	4G	-100	4	-20	
2019.09.24_12.17.58	-48.45391	-1.473245	Oi	4G	-101	4	-20	
2019.09.24_12.17.59	-48.45391	-1.473245	Oi	4G	-101	4	-20	
2019.09.24_12.18.00	-48.45391	-1.473245	Oi	4G	-102	4	-20	
2019.09.24_12.18.01	-48.45395	-1.473240	Oi	4G	-102	5	-20	
2019.09.24_12.18.01	-48.45395	-1.473240	Oi	4G	-102	5	-20	
2019.09.24_12.18.03	-48.45395	-1.473240	Oi	4G	-105	5	-20	
2019.09.24_12.18.03	-48.45397	-1.473242	Oi	4G	-105	4	-17	
2019.09.24_12.18.04	-48.45397	-1.473242	Oi	4G	-105	4	-17	
2019.09.24_12.18.05	-48.45397	-1.473242	Oi	4G	-102	4	-17	
2019.09.24_12.18.06	-48.45401	-1.473248	Oi	4G	-102	4	-18	
2019.09.24_12.18.06	-48.45401	-1.473248	Oi	4G	-102	4	-18	
2019.09.24_12.18.07	-48.45401	-1.473248	Oi	4G	-103	4	-18	
2019.09.24_12.18.09	-48.45401	-1.473248	Oi	4G	-103	4	-18	
2019.09.24_12.18.09	-48.45405	-1.473246	Oi	4G	-103	4	-18	
2019.09.24_12.18.10	-48.45405	-1.473246	Oi	4G	-105	4	-18	
2019.09.24_12.18.11	-48.45405	-1.473246	Oi	4G	-105	4	-18	
2019.09.24_12.18.12	-48.45408	-1.473243	Oi	4G	-105	4	-18	
2019.09.24_12.18.12	-48.45408	-1.473243	Oi	4G	-105	4	-18	
2019.09.24_12.18.13	-48.45408	-1.473243	Oi	4G	-105	4	-18	
2019.09.24_12.18.14	-48.45408	-1.473243	Oi	4G	-108	4	-18	
2019.09.24_12.18.15	-48.45411	-1.473252	Oi	4G	-108	4	-17	
2019.09.24_12.18.15	-48.45411	-1.473252	Oi	4G	-108	4	-17	
2019.09.24_12.18.17	-48.45411	-1.473252	Oi	4G	-106	4	-17	
2019.09.24_12.18.18	-48.45411	-1.473252	Oi	4G	-106	4	-17	
2019.09.24_12.18.18	-48.45414	-1.473270	Oi	4G	-106	4	-17	
2019.09.24_12.18.19	-48.45414	-1.473270	Oi	4G	-108	4	-17	
2019.09.24_12.18.20	-48.45414	-1.473270	Oi	4G	-108	4	-17	
2019.09.24_12.18.21	-48.45417	-1.473287	Oi	4G	-108	5	-18	
2019.09.24_12.18.21	-48.45417	-1.473287	Oi	4G	-104	5	-18	
2019.09.24_12.18.22	-48.45417	-1.473287	Oi	4G	-104	5	-18	
2019.09.24_12.18.23	-48.45420	-1.473289	Oi	4G	-104	4	-19	
2019.09.24_12.18.23	-48.45420	-1.473289	Oi	4G	-105	4	-19	
2019.09.24_12.18.25	-48.45420	-1.473289	Oi	4G	-105	4	-19	
2019.09.24_12.18.26	-48.45420	-1.473289	Oi	4G	-103	4	-19	
2019.09.24_12.18.26	-48.45423	-1.473292	Oi	4G	-103	4	-18	
2019.09.24_12.18.27	-48.45423	-1.473292	Oi	4G	-103	4	-18	
2019.09.24_12.18.28	-48.45423	-1.473292	Oi	4G	-103	4	-18	
2019.09.24_12.18.29	-48.45426	-1.473306	Oi	4G	-103	5	-19	
2019.09.24_12.18.29	-48.45426	-1.473306	Oi	4G	-103	5	-19	
2019.09.24_12.18.30	-48.45426	-1.473306	Oi	4G	-102	5	-19	
2019.09.24_12.18.31	-48.45426	-1.473306	Oi	4G	-102	5	-19	
2019.09.24_12.18.32	-48.45429	-1.473319	Oi	4G	-102	4	-17	
2019.09.24_12.18.33	-48.45429	-1.473319	Oi	4G	-106	4	-17	
2019.09.24_12.18.34	-48.45429	-1.473319	Oi	4G	-106	4	-17	
2019.09.24_12.18.35	-48.45432	-1.473325	Oi	4G	-106	3	-17	
2019.09.24_12.18.35	-48.45432	-1.473325	Oi	4G	-105	3	-17	
2019.09.24_12.18.36	-48.45432	-1.473325	Oi	4G	-105	3	-17	
2019.09.24_12.18.37	-48.45432	-1.473325	Oi	4G	-106	3	-17	
2019.09.24_12.18.38	-48.45435	-1.473335	Oi	4G	-106	3	-16	
2019.09.24_12.18.38	-48.45435	-1.473335	Oi	4G	-106	3	-16	
2019.09.24_12.18.40	-48.45435	-1.473335	Oi	4G	-106	3	-16	
2019.09.24_12.18.41	-48.45435	-1.473335	Oi	4G	-106	3	-16	
2019.09.24_12.18.42	-48.45437	-1.473349	Oi	4G	-101	2	-14	
2019.09.24_12.18.42	-48.45437	-1.473349	Oi	4G	-101	2	-14	
2019.09.24_12.18.43	-48.45437	-1.473349	Oi	4G	-101	2	-14	
2019.09.24_12.18.44	-48.45437	-1.473349	Oi	4G	-105	2	-14	
2019.09.24_12.18.45	-48.45437	-1.473349	Oi	4G	-105	2	-14	
2019.09.24_12.18.47	-48.45437	-1.473349	Oi	4G	-104	2	-14	
2019.09.24_12.18.47	-48.45439	-1.473368	Oi	4G	-104	1	-17	
2019.09.24_12.18.48	-48.45439	-1.473368	Oi	4G	-104	1	-17	
2019.09.24_12.18.49	-48.45439	-1.473368	Oi	4G	-103	1	-17	
2019.09.24_12.18.50	-48.45442	-1.473386	Oi	4G	-103	2	-18	
2019.09.24_12.18.50	-48.45442	-1.473386	Oi	4G	-103	2	-18	
2019.09.24_12.18.51	-48.45442	-1.473386	Oi	4G	-103	2	-18	
2019.09.24_12.18.52	-48.45442	-1.473386	Oi	4G	-103	2	-18	
2019.09.24_12.18.53	-48.45442	-1.473386	Oi	4G	-107	2	-18	
2019.09.24_12.18.54	-48.45445	-1.473404	Oi	4G	-107	1	-19	
2019.09.24_12.18.55	-48.45445	-1.473404	Oi	4G	-107	1	-19	
2019.09.24_12.18.56	-48.45445	-1.473404	Oi	4G	-106	1	-19	
2019.09.24_12.18.57	-48.45445	-1.473404	Oi	4G	-106	1	-19	
2019.09.24_12.18.58	-48.45445	-1.473435	Oi	4G	-106	1	-18	
2019.09.24_12.18.58	-48.45445	-1.473435	Oi	4G	-109	1	-18	
2019.09.24_12.18.59	-48.45445	-1.473435	Oi	4G	-109	1	-18	
2019.09.24_12.19.00	-48.45445	-1.473435	Oi	4G	-109	1	-18	
2019.09.24_12.19.01	-48.45446	-1.473464	Oi	4G	-109	2	-18	
2019.09.24_12.19.02	-48.45446	-1.473464	Oi	4G	-109	2	-18	
2019.09.24_12.19.03	-48.45446	-1.473464	Oi	4G	-106	2	-18	
2019.09.24_12.19.04	-48.45449	-1.473493	Oi	4G	-106	0	-18	
2019.09.24_12.19.04	-48.45449	-1.473493	Oi	4G	-106	0	-18	
2019.09.24_12.19.05	-48.45449	-1.473493	Oi	4G	-104	0	-18	
2019.09.24_12.19.06	-48.45449	-1.473493	Oi	4G	-104	0	-18	
2019.09.24_12.19.07	-48.45449	-1.473493	Oi	4G	-104	0	-18	
